utc	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-01-04 17:15:00	34.07	A	12150400		
2019-01-24 21:15:00	31.85	A	12150400		
2019-04-13 02:00:00	32.33	A	12150400		
2019-09-19 03:45:00	21.44	A	12150400		
2019-09-25 13:00:00	20.89	A	12150400		
2019-09-27 16:00:00	23.18	A	12150400		
2019-09-28 23:00:00	23.87	A	12150400		
2019-10-09 10:00:00	25.45	A	12150400		
2019-10-20 12:45:00	27.99	A	12150400		
2019-10-23 14:45:00	40.65	A	12150400		
2019-11-17 06:30:00	21.94	A	12150400		
2019-11-18 17:00:00	26.28	A	12150400		
2019-11-20 08:15:00	26.48	A	12150400		
2019-11-25 11:30:00	23.62	A	12150400		
2019-12-05 22:15:00	22.45	A	12150400		
2019-12-22 07:30:00	40.97	A	12150400		
2020-01-02 09:45:00	35.27	A	12150400		
2020-01-08 15:00:00	40.3	A	12150400		
2020-01-12 11:00:00	31.79	A	12150400		
2020-01-24 21:45:00	36.95	A	12150400		
2020-02-02 15:00:00	41.76	A	12150400		
2020-02-08 07:00:00	41.88	A	12150400		
2020-04-24 07:00:00	32.04	A	12150400		
2020-10-19 13:30:00	32.06	A	12150400		
2020-11-06 13:15:00	35.74	A	12150400		
2020-12-21 04:45:00	33.14	A	12150400		
2020-12-22 19:30:00	34.69	A	12150400		
2021-01-01 12:15:00	31.65	A	12150400		
2021-01-04 03:00:00	36.96	A	12150400		
2021-01-14 08:00:00	39.79	A	12150400		
2021-02-23 17:00:00	37.23	A	12150400		
2021-10-30 06:00:00	39.56	A	12150400		
2021-11-13 22:00:00	40.59	A	12150400		
2021-11-16 03:00:00	41.35	A	12150400		
2021-11-27 11:00:00	34.56	A	12150400		
2021-11-29 14:30:00	37.32	A	12150400		
2021-12-01 16:30:00	33.79	A	12150400		
2022-01-08 14:30:00	38.81	A	12150400		
2022-01-14 01:00:00	40.83	A	12150400		
2022-01-21 19:30:00	37.92	A	12150400		
2022-03-02 10:00:00	41.75	A	12150400		
2022-03-16 13:00:00	29.0	P	12150400		
2022-03-22 12:30:00	26.93	P	12150400		
2022-03-24 21:00:00	28.58	P	12150400		
2022-03-29 02:30:00	25.92	P	12150400		
2022-04-05 07:00:00	27.48	P	12150400		
2022-04-26 19:30:00	23.41	P	12150400		
2022-05-03 21:00:00	24.9	P	12150400		
2022-05-08 06:00:00	31.16	P	12150400		
2022-05-17 10:00:00	30.47	P	12150400		
2022-05-19 18:00:00	28.21	P	12150400		
2022-05-28 09:00:00	29.3	P	12150400		
2022-05-30 21:30:00	30.24	P	12150400		
2022-06-04 17:30:00	30.58	P	12150400		
2022-06-06 18:00:00	32.26	P	12150400		
2022-06-11 03:00:00	35.53	P	12150400		
