utc	discharge	discharge_qualifiers	location	stage	stage_qualifiers
2007-10-01 19:00:00	957.0	A	12142000	4.32	A
2007-10-03 03:15:00	3180.0	A	12142000	6.75	A
2007-10-08 07:15:00	2250.0	A	12142000	5.91	A
2007-10-19 19:15:00	1040.0	A	12142000	4.45	A
2007-10-22 17:00:00	1590.0	A	12142000	5.19	A
2007-11-10 18:45:00	830.0	A	12142000	4.09	A
2007-11-13 05:15:00	938.0	A	12142000	4.28	A
2007-11-16 15:30:00	1900.0	A	12142000	5.54	A
2007-12-04 00:00:00	6540.0	A	12142000	9.0	A
2007-12-24 06:45:00	1740.0	A	12142000	5.37	A
2008-01-11 23:15:00	871.0	A	12142000	4.17	A
2008-02-11 06:45:00	1180.0	A	12142000	4.65	A
2008-03-01 13:30:00	1180.0	A	12142000	4.65	A
2008-03-11 18:30:00	1020.0	A	12142000	4.42	A
2008-04-13 16:30:00	841.0	A	12142000	4.12	A
2008-04-29 11:00:00	1480.0	A	12142000	5.05	A
2008-05-06 12:00:00	1010.0	A	12142000	4.41	A
2008-05-15 08:00:00	2400.0	A	12142000	6.06	A
2008-05-17 06:15:00	3260.0	A	12142000	6.82	A
2008-05-20 23:15:00	3250.0	A	12142000	6.81	A
2008-05-26 08:00:00	1950.0	A	12142000	5.6	A
2008-06-04 11:00:00	2010.0	A	12142000	5.66	A
2008-06-21 09:15:00	1350.0	A	12142000	4.88	A
2008-06-29 06:15:00	1570.0	A	12142000	5.17	A
2008-07-03 16:15:00	1740.0	A	12142000	5.36	A
2008-08-21 08:30:00	914.0	A	12142000	4.25	A
2008-08-27 18:15:00	957.0	A	12142000	4.32	A
2008-09-26 14:45:00	443.0	A	12142000	3.33	A
2008-10-05 08:30:00	374.0	A	12142000	3.15	A
2008-10-08 16:15:00	468.0	A	12142000	3.39	A
2008-10-14 10:30:00	718.0	A	12142000	3.91	A
2008-11-03 22:15:00	538.0	A	12142000	3.55	A
2008-11-07 16:30:00	8330.0	A	12142000	9.94	A
2008-11-12 17:00:00	10700.0	A	12142000	11.02	A
2008-11-30 00:00:00	1650.0	A	12142000	5.26	A
2008-12-08 01:00:00	1520.0	A	12142000	5.1	A
2008-12-28 06:30:00	1630.0	A	12142000	5.24	A
2009-01-07 21:30:00	17100.0	A	12142000	13.42	A
2009-03-21 10:00:00	533.0	A	12142000	3.93	A
2009-04-08 12:45:00	745.0	A	12142000	4.31	A
2009-04-13 08:45:00	2360.0	A	12142000	6.02	A
2009-04-22 10:15:00	1570.0	A	12142000	5.25	A
2009-05-06 06:00:00	1140.0	A	12142000	4.73	A
2009-05-12 08:00:00	1750.0	A	12142000	5.44	A
2009-05-14 21:00:00	2310.0	A	12142000	5.97	A
2009-05-30 07:30:00	1660.0	A	12142000	5.34	A
2009-09-08 01:30:00	914.0	A	12142000	4.42	A
2009-10-02 12:45:00	400.0	A	12142000	3.49	A
2009-10-15 07:15:00	423.0	A	12142000	3.54	A
2009-10-17 11:45:00	853.0	A	12142000	4.33	A
2009-10-23 23:15:00	4630.0	A	12142000	7.83	A
2009-10-26 19:00:00	5460.0	A	12142000	8.37	A
2009-10-30 17:45:00	3230.0	A	12142000	6.79	A
2009-11-06 19:45:00	1010.0	A	12142000	4.5	A
2009-11-17 14:45:00	4410.0	A	12142000	7.68	A
2009-11-20 03:15:00	2030.0	A	12142000	5.7	A
2009-11-24 19:15:00	2480.0	A	12142000	6.13	A
2009-12-17 17:30:00	836.0	A	12142000	4.24	A
2009-12-20 01:45:00	1070.0	A	12142000	4.59	A
2009-12-21 19:00:00	1790.0	A	12142000	5.46	A
2010-01-02 12:15:00	1390.0	A	12142000	5.01	A
2010-01-05 23:00:00	3240.0	A	12142000	6.8	A
2010-01-09 18:45:00	2020.0	A	12142000	5.69	A
2010-01-14 12:00:00	2000.0	A	12142000	5.67	A
