utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-10-14 04:30:11	30687	46.05		SVPA-17		
2019-10-23 13:00:05	50292	53.81		SVPA-17		
2019-12-22 05:45:09	150225	53.62		SVPA-17		
2020-01-08 22:15:08	175439	52.0		SVPA-17		
2020-02-03 01:00:07	213133	53.89		SVPA-17		
2020-02-09 10:00:03	222710	53.89		SVPA-17		
2020-04-30 14:00:06	340248	47.06		SVPA-17		
2020-05-10 19:59:59	353740	47.6		SVPA-17		
2021-10-30 05:44:58	1199012	48.7		SVPA-17		
2021-11-14 01:45:06	1225740	53.0		SVPA-17		
2021-11-15 21:00:08	1228771	53.96		SVPA-17		
2022-01-08 16:15:11	1312224	48.2		SVPA-17		
2022-01-13 21:45:07	1320416	53.41		SVPA-17		
2022-03-02 07:00:08	1394252	55.73		SVPA-17		
