utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-10-22 20:30:39	48934	80.47		SVPA-34		
2019-12-21 05:15:03	148925	78.13		SVPA-34		
2020-01-07 19:45:00	173694	78.32		SVPA-34		
2020-01-24 19:58:12	199527	75.19		SVPA-34		
2020-02-02 02:44:56	211712	79.82		SVPA-34		
2020-02-07 21:14:56	220198	79.44		SVPA-34		
2021-01-03 15:59:57	748675	75.42		SVPA-34		
2021-01-13 07:44:56	763950	75.73		SVPA-34		
2021-02-13 11:15:36	812409	76.42		SVPA-34		
2021-02-23 06:45:00	827885	75.78		SVPA-34		
2021-10-29 15:00:03	1197950	77.78		SVPA-34		
2021-11-13 06:45:02	1224366	78.95		SVPA-34		
2021-11-15 04:15:02	1227585	78.05		SVPA-34		
2021-11-28 16:59:59	1250462	75.71		SVPA-34		
2022-01-08 05:00:10	1311508	75.92		SVPA-34		
2022-01-13 02:29:59	1319147	78.29		SVPA-34		
2022-03-01 19:59:59	1393516	79.97		SVPA-34		
