utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-10-23 15:45:03	50553	46.96		SVPA-15		
2019-12-22 07:30:10	150328	46.94		SVPA-15		
2020-01-08 17:15:44	175106	45.73		SVPA-15		
2020-01-24 16:30:10	199208	41.95		SVPA-15		
2020-02-02 12:30:00	212334	49.86		SVPA-15		
2020-02-08 12:00:41	221212	49.87		SVPA-15		
2020-03-30 13:30:09	297071	41.6		SVPA-15		
2020-05-04 12:00:10	345365	41.61		SVPA-15		
2020-09-26 15:30:10	568908	40.8		SVPA-15		
2020-11-04 14:00:03	626421	41.13		SVPA-15		
2021-01-05 07:45:02	751446	42.13		SVPA-15		
2021-01-14 15:45:12	765437	44.31		SVPA-15		
2021-02-24 03:30:05	829300	41.61		SVPA-15		
2021-05-28 04:00:03	983512	40.94		SVPA-15		
2021-09-04 07:15:11	1114209	40.46		SVPA-15		
2021-09-13 12:00:05	1125442	40.23		SVPA-15		
2021-09-17 22:30:06	1131987	40.38		SVPA-15		
2021-10-30 14:00:06	1199611	43.79		SVPA-15		
2021-11-14 02:45:10	1225814	45.9		SVPA-15		
2021-11-16 00:44:56	1229022	47.11		SVPA-15		
2021-11-27 11:45:08	1248383	41.18		SVPA-15		
2021-11-29 20:30:08	1252427	41.78		SVPA-15		
2022-01-08 18:45:11	1312402	43.36		SVPA-15		
2022-01-14 00:30:04	1320593	46.28		SVPA-15		
2022-01-22 05:45:05	1333495	42.17		SVPA-15		
2022-01-29 04:30:08	1344454	54.06		SVPA-15		
2022-03-02 07:30:24	1394291	50.21		SVPA-15		
2022-03-21 19:00:02	1425332	40.36		SVPA-15		
2022-04-19 02:30:11	1471228	40.29		SVPA-15		
2022-06-11 12:59:58	1557489	41.26		SVPA-15		
