utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2021-09-17 19:45:58	1131828	174.44		SVPA-36		
2021-10-29 12:14:55	1197741	79.65		SVPA-36		
2021-11-13 04:15:03	1224179	80.13		SVPA-36		
2021-11-15 01:45:01	1227412	79.65		SVPA-36		
2021-11-27 03:29:57	1247787	72.63		SVPA-36		
2021-11-28 16:14:56	1250405	76.71		SVPA-36		
2022-01-08 03:00:00	1311371	76.63		SVPA-36		
2022-01-12 23:59:58	1318981	79.79		SVPA-36		
2022-01-21 07:59:55	1332030	76.57		SVPA-36		
2022-03-01 18:44:56	1393432	80.77		SVPA-36		
2022-06-10 15:59:57	1553663	75.47		SVPA-36		
