utc	discharge	discharge_qualifiers	location	stage	stage_qualifiers
2007-10-03 03:00:00	929.0	A	12143400	12.35	A
2007-10-08 08:15:00	411.0	A	12143400	11.35	A
2007-10-20 01:30:00	391.0	A	12143400	11.3	A
2007-11-13 03:15:00	388.0	A	12143400	11.29	A
2007-11-16 19:15:00	716.0	A	12143400	12.0	A
2007-12-04 14:45:00	2010.0	A	12143400	13.71	A
2008-02-11 08:15:00	359.0	A	12143400	11.1	A
2008-04-14 13:15:00	407.0	A	12143400	11.24	A
2008-04-29 12:45:00	520.0	A	12143400	11.52	A
2008-05-17 05:15:00	2410.0	A	12143400	14.12	A
2008-06-30 06:45:00	1100.0	A	12143400	12.47	A
2008-08-21 20:45:00	303.0	A	12143400	11.09	A
2008-11-07 17:00:00	3100.0	A	12143400	14.75	A
2008-11-12 17:30:00	6370.0	A	12143400	17.17	A
2009-01-07 21:15:00	7440.0	A	12143400	17.83	A
2009-04-08 14:00:00	332.0	A	12143400	10.82	A
2009-04-13 06:45:00	710.0	A	12143400	11.74	A
2009-04-22 07:00:00	781.0	A	12143400	11.88	A
2009-05-07 06:45:00	799.0	A	12143400	11.91	A
2009-05-18 06:00:00	970.0	A	12143400	12.2	A
2009-09-07 20:45:00	239.0	A	12143400	10.5	A
2009-10-18 17:00:00	269.0	A	12143400	10.6	A
2009-10-23 23:15:00	916.0	A	12143400	12.11	A
2009-10-26 19:15:00	1880.0	A	12143400	13.47	A
2009-10-31 12:15:00	2010.0	A	12143400	13.61	A
2009-11-17 16:15:00	936.0	A	12143400	12.14	A
2009-11-25 00:15:00	728.0	A	12143400	11.77	A
2009-12-21 16:00:00	411.0	A	12143400	11.06	A
2010-01-02 21:30:00	388.0	A	12143400	10.99	A
2010-01-06 02:30:00	799.0	A	12143400	11.9	A
2010-01-16 01:00:00	793.0	A	12143400	11.89	A
2010-03-29 18:30:00	415.0	A	12143400	11.07	A
2010-04-20 12:45:00	589.0	A	12143400	11.49	A
2010-05-03 16:15:00	1100.0	A	12143400	12.19	A
2010-05-18 09:45:00	949.0	A	12143400	11.94	A
2010-05-29 02:30:00	997.0	A	12143400	12.01	A
2010-06-03 06:15:00	1270.0	A	12143400	12.44	A
2010-09-01 07:15:00	373.0	A	12143400	10.95	A
2010-09-08 11:45:00	239.0	A	12143400	10.49	A
2010-09-21 02:45:00	439.0	A	12143400	11.14	A
2010-10-10 18:45:00	739.0	A	12143400	11.79	A
2010-10-25 22:00:00	599.0	A	12143400	11.51	A
2010-11-02 03:45:00	1630.0	A	12143400	13.15	A
2010-11-16 07:45:00	1160.0	A	12143400	12.52	A
2010-12-10 08:15:00	377.0	A	12143400	11.0	A
2010-12-13 02:00:00	3320.0	A	12143400	14.94	A
2011-01-08 02:30:00	793.0	A	12143400	11.92	A
2011-01-15 02:45:00	2120.0	A	12143400	13.76	A
