utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-12-21 13:30:37	149349	72.12		SVPA-26		
2019-12-26 03:15:00	155411	65.61		SVPA-26		
2019-12-28 03:15:04	158095	65.0		SVPA-26		
2019-12-29 19:15:08	160501	65.63		SVPA-26		
2020-01-02 01:15:02	165312	67.12		SVPA-26		
2020-01-08 01:35:13	174079	71.93		SVPA-26		
2020-01-12 03:10:05	180394	64.41		SVPA-26		
2020-01-24 10:15:07	198805	67.99		SVPA-26		
2020-02-01 23:49:59	211518	73.46		SVPA-26		
2020-02-07 15:25:12	219836	73.48		SVPA-26		
2020-04-23 23:15:03	331568	65.51		SVPA-26		
2020-04-30 21:45:03	340684	64.27		SVPA-26		
2020-10-12 22:00:11	594971	65.47		SVPA-26		
2020-10-19 07:00:07	603081	65.6		SVPA-26		
2020-11-04 22:15:03	626970	65.98		SVPA-26		
2020-12-20 19:30:11	724841	65.57		SVPA-26		
2020-12-22 13:30:05	727764	66.46		SVPA-26		
2021-01-01 03:45:06	744376	65.05		SVPA-26		
2021-01-03 17:29:58	748783	68.1		SVPA-26		
2021-01-14 04:00:14	764908	70.25		SVPA-26		
2021-02-23 09:00:11	828043	68.6		SVPA-26		
2021-10-29 21:00:09	1198385	70.66		SVPA-26		
2021-11-13 11:00:02	1224662	72.79		SVPA-26		
2021-11-15 11:45:06	1228121	71.98		SVPA-26		
2021-11-27 04:15:00	1247838	66.28		SVPA-26		
2021-11-28 19:30:03	1250644	68.13		SVPA-26		
2021-12-01 07:00:07	1254888	65.8		SVPA-26		
2022-01-08 05:15:09	1311514	69.11		SVPA-26		
2022-01-13 07:00:09	1319451	72.45		SVPA-26		
2022-01-21 10:45:05	1332220	68.8		SVPA-26		
2022-03-01 22:45:02	1393707	74.93		SVPA-26		
2022-05-07 21:00:11	1501276	64.66		SVPA-26		
2022-06-06 13:45:10	1540175	64.96		SVPA-26		
2022-06-10 18:45:02	1554167	67.24		SVPA-26		
