utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-10-23 15:30:01	50522	45.26		SVPA-12		
2019-12-22 07:45:01	150342	45.34		SVPA-12		
2020-01-02 19:00:09	166578	38.66		SVPA-12		
2020-01-08 15:00:11	174960	44.58		SVPA-12		
2020-02-02 13:30:08	212401	46.74		SVPA-12		
2020-02-08 08:00:07	220938	46.94		SVPA-12		
2020-05-01 08:45:21	341310	36.89		SVPA-12		
2020-05-03 14:59:59	344194	37.05		SVPA-12		
2020-05-06 09:00:06	347837	37.23		SVPA-12		
2020-05-12 01:00:00	355293	37.69		SVPA-12		
2020-05-14 04:00:43	358102	37.83		SVPA-12		
2020-05-15 21:45:09	360433	37.63		SVPA-12		
2020-05-19 04:59:56	364724	37.77		SVPA-12		
2020-11-07 00:15:05	630670	38.72		SVPA-12		
2020-12-23 02:15:13	728680	38.44		SVPA-12		
2021-01-04 08:45:03	749846	41.18		SVPA-12		
2021-01-14 11:00:05	765221	44.17		SVPA-12		
2021-02-23 23:30:13	829029	41.07		SVPA-12		
2021-10-30 07:45:09	1199166	43.87		SVPA-12		
2021-11-14 01:00:08	1225685	45.27		SVPA-12		
2021-11-16 03:00:02	1229177	46.05		SVPA-12		
2021-11-27 18:30:02	1248875	37.78		SVPA-12		
2021-11-29 17:15:06	1252183	41.54		SVPA-12		
2022-01-08 16:00:11	1312216	43.1		SVPA-12		
2022-01-14 01:00:11	1320622	45.49		SVPA-12		
2022-01-22 01:30:07	1333212	42.06		SVPA-12		
2022-03-02 08:15:06	1394329	47.24		SVPA-12		
2022-03-22 22:29:58	1427181	35.72		SVPA-12		
2022-06-08 00:15:03	1542558	35.62		SVPA-12		
2022-06-11 16:00:11	1558048	39.59		SVPA-12		
