utc	discharge	discharge_qualifiers	location	stage	stage_qualifiers
2007-10-03 03:15:00	5930.0	A	12141300	7.45	A
2007-10-08 07:45:00	3550.0	A	12141300	5.99	A
2007-10-21 16:15:00	2770.0	A	12141300	5.36	A
2007-11-10 19:30:00	1270.0	A	12141300	3.7	A
2007-11-13 03:15:00	2390.0	A	12141300	5.01	A
2007-11-16 15:15:00	3990.0	A	12141300	6.3	A
2007-12-03 23:30:00	14800.0	A	12141300	10.91	A
2007-12-20 08:30:00	1300.0	A	12141300	3.75	A
2007-12-24 06:30:00	2730.0	A	12141300	5.32	A
2008-01-11 21:30:00	1870.0	A	12141300	4.47	A
2008-01-15 05:30:00	1750.0	A	12141300	4.33	A
2008-02-09 21:00:00	1730.0	A	12141300	4.3	A
2008-03-01 12:30:00	1990.0	A	12141300	4.6	A
2008-03-11 23:00:00	1650.0	A	12141300	4.21	A
2008-04-14 11:30:00	1680.0	A	12141300	4.25	A
2008-04-29 13:45:00	2290.0	A	12141300	4.91	A
2008-05-06 12:15:00	2130.0	A	12141300	4.75	A
2008-05-15 08:15:00	5350.0	A	12141300	7.15	A
2008-05-18 06:00:00	10100.0	A	12141300	9.26	A
2008-05-26 08:30:00	4400.0	A	12141300	6.58	A
2008-06-04 11:45:00	3770.0	A	12141300	6.15	A
2008-06-10 10:45:00	3730.0	A	12141300	6.12	A
2008-06-21 11:00:00	3250.0	A	12141300	5.76	A
2008-06-29 07:45:00	4390.0	A	12141300	6.57	A
2008-08-21 21:15:00	2010.0	A	12141300	4.62	A
2008-08-27 18:30:00	1400.0	A	12141300	3.88	A
2008-09-26 14:00:00	512.0	A	12141300	2.26	A
2008-10-05 09:45:00	630.0	A	12141300	2.55	A
2008-10-07 21:30:00	961.0	A	12141300	3.21	A
2008-10-14 13:45:00	1060.0	A	12141300	3.38	A
2008-11-03 20:45:00	856.0	A	12141300	3.02	A
2008-11-07 18:30:00	16700.0	A	12141300	11.52	A
2008-11-12 23:30:00	28100.0	A	12141300	14.51	A
2008-11-30 00:00:00	2640.0	A	12141300	5.24	A
2008-12-08 01:15:00	1790.0	A	12141300	4.37	A
2008-12-28 05:15:00	2130.0	A	12141300	4.75	A
2009-01-07 20:15:00	31200.0	A	12141300	15.22	A
2009-02-26 04:00:00	927.0	A	12141300	3.15	A
2009-03-21 08:15:00	1080.0	A	12141300	3.41	A
2009-03-25 12:15:00	1820.0	A	12141300	4.41	A
2009-03-31 22:30:00	1290.0	A	12141300	3.73	A
2009-04-02 21:30:00	1520.0	A	12141300	4.04	A
2009-04-08 11:45:00	1500.0	A	12141300	4.02	A
2009-04-13 07:15:00	3840.0	A	12141300	6.2	A
