utc	discharge	discharge_qualifiers	location	stage	stage_qualifiers
2007-10-03 18:15:00	10100.0	A	12149000	50.17	A
2007-10-08 14:00:00	7540.0	A	12149000	49.09	A
2007-10-22 02:45:00	6090.0	A	12149000	48.45	A
2007-11-13 14:45:00	4110.0	A	12149000	47.49	A
2007-11-16 23:00:00	7470.0	A	12149000	49.07	A
2007-12-04 18:00:00	32100.0	A	12149000	56.99	A
2007-12-20 17:15:00	4860.0	A	12149000	47.68	A
2007-12-24 14:00:00	8100.0	A	12149000	49.24	A
2008-01-12 02:45:00	5710.0	A	12149000	48.11	A
2008-02-09 22:30:00	6440.0	A	12149000	48.47	A
2008-03-01 19:30:00	5470.0	A	12149000	48.04	A
2008-04-14 21:45:00	4370.0	A	12149000	47.62	A
2008-04-29 18:45:00	6030.0	A	12149000	48.42	A
2008-05-06 20:30:00	5090.0	A	12149000	47.98	A
2008-05-18 16:45:00	18100.0	A	12149000	53.48	A
2008-05-21 07:15:00	15300.0	A	12149000	52.35	A
2008-05-26 14:30:00	9890.0	A	12149000	50.09	A
2008-06-04 18:15:00	9300.0	A	12149000	49.85	A
2008-06-08 02:00:00	9350.0	A	12149000	49.87	A
2008-06-10 21:45:00	9690.0	A	12149000	50.01	A
2008-06-21 18:00:00	6710.0	A	12149000	48.74	A
2008-06-30 14:45:00	8520.0	A	12149000	49.52	A
2008-08-22 06:15:00	3540.0	A	12149000	47.19	A
2008-08-28 04:15:00	3130.0	A	12149000	46.96	A
2008-10-08 14:00:00	2250.0	A	12149000	46.44	A
2008-10-14 23:00:00	2510.0	A	12149000	46.6	A
2008-11-03 21:15:00	2330.0	A	12149000	46.49	A
2008-11-08 07:00:00	34100.0	A	12149000	57.24	A
2008-11-13 15:45:00	63100.0	A	12149000	60.49	A
2008-11-30 06:45:00	6690.0	A	12149000	48.73	A
2008-12-08 08:30:00	5350.0	A	12149000	48.1	A
2008-12-28 14:15:00	7270.0	A	12149000	48.98	A
2009-01-08 14:15:00	82900.0	A	12149000	62.21	A
2009-02-26 10:15:00	3010.0	A	12149000	47.68	A
2009-03-21 16:30:00	3590.0	A	12149000	47.98	A
2009-03-25 19:30:00	4800.0	A	12149000	48.56	A
2009-04-03 11:45:00	6380.0	A	12149000	49.26	A
2009-04-13 14:15:00	10100.0	A	12149000	50.51	A
2009-04-22 15:30:00	7950.0	A	12149000	49.61	A
2009-05-06 10:15:00	6290.0	A	12149000	48.89	A
2009-05-12 14:30:00	8230.0	A	12149000	49.73	A
2009-05-15 04:45:00	10100.0	A	12149000	50.5	A
2009-05-19 16:45:00	9530.0	A	12149000	50.27	A
2009-05-30 14:30:00	8750.0	A	12149000	49.94	A
2009-09-08 07:30:00	4090.0	A	12149000	48.0	A
2009-10-18 23:15:00	4150.0	A	12149000	48.02	A
2009-10-24 08:00:00	11000.0	A	12149000	50.99	A
2009-10-27 04:15:00	17400.0	A	12149000	53.19	A
2009-10-31 21:45:00	14400.0	A	12149000	51.98	A
2009-11-08 09:15:00	7250.0	A	12149000	49.06	A
2009-11-18 00:45:00	16600.0	A	12149000	52.89	A
2009-11-20 06:15:00	10900.0	A	12149000	50.51	A
2009-11-25 03:45:00	10640.389610389611	hf.missing	12149000	50.47	A
2009-12-17 22:15:00	4170.0	A	12149000	47.75	A
2009-12-22 00:30:00	8830.0	A	12149000	49.67	A
2010-01-02 21:15:00	6360.0	A	12149000	48.7	A
2010-01-06 05:30:00	12300.0	A	12149000	51.07	A
2010-01-10 00:00:00	7640.0	A	12149000	49.21	A
2010-01-14 16:45:00	10700.0	A	12149000	50.41	A
2010-01-16 10:15:00	11800.0	A	12149000	50.86	A
2010-02-17 10:15:00	3250.0	A	12149000	47.31	A
2010-03-22 15:15:00	3400.0	A	12149000	47.39	A
2010-03-30 06:00:00	6460.0	A	12149000	48.74	A
2010-04-20 17:45:00	5040.0	A	12149000	48.14	A
2010-04-21 23:00:00	7490.0	A	12149000	49.15	A
2010-05-04 00:15:00	10300.0	A	12149000	50.22	A
2010-05-19 13:15:00	6730.0	A	12149000	48.85	A
2010-05-29 08:15:00	11200.0	A	12149000	50.63	A
2010-06-03 15:45:00	12900.0	A	12149000	51.32	A
2010-06-09 21:15:00	8880.0	A	12149000	49.68	A
2010-09-01 18:30:00	5890.0	A	12149000	48.51	A
2010-09-08 22:45:00	3450.0	A	12149000	47.41	A
2010-09-21 10:15:00	6010.0	A	12149000	48.56	A
2010-10-11 01:00:00	10300.0	A	12149000	50.23	A
2010-10-26 05:00:00	8430.0	A	12149000	49.51	A
2010-11-02 12:00:00	12900.0	A	12149000	51.32	A
2010-11-08 01:00:00	5950.0	A	12149000	48.53	A
2010-11-16 18:30:00	10500.0	A	12149000	50.31	A
2010-12-01 17:00:00	5170.0	A	12149000	48.2	A
2010-12-10 13:15:00	7970.0	A	12149000	49.34	A
2010-12-13 18:00:00	46600.0	A	12149000	58.76	A
2011-01-08 09:00:00	12700.0	A	12149000	51.35	A
2011-01-15 12:45:00	21000.0	A	12149000	54.63	A
2011-01-17 22:15:00	51600.0	A	12149000	59.32	A
2011-01-22 09:00:00	15500.0	A	12149000	52.42	A
2011-01-25 19:15:00	11000.0	A	12149000	50.53	A
2011-01-30 10:00:00	11600.0	A	12149000	50.79	A
2011-02-05 14:00:00	12500.0	A	12149000	51.17	A
2011-02-07 19:45:00	11200.0	A	12149000	50.63	A
2011-03-10 22:30:00	10000.0	A	12149000	50.12	A
2011-03-16 12:30:00	6820.0	A	12149000	48.89	A
2011-04-01 09:30:00	41900.0	A	12149000	58.2	A
2011-05-08 10:30:00	6380.0	A	12149000	48.71	A
2011-05-16 07:30:00	15000.0	A	12149000	52.22	A
2011-06-06 18:30:00	7970.0	A	12149000	49.34	A
2011-06-19 17:15:00	6460.0	A	12149000	48.74	A
2011-06-30 18:15:00	7030.0	A	12149000	48.97	A
2011-09-28 07:30:00	2820.0	A	12149000	47.09	A
2011-10-12 12:00:00	10100.0	A	12149000	50.13	A
2011-10-23 14:00:00	10500.0	A	12149000	50.31	A
2011-10-29 21:30:00	4290.0	A	12149000	47.81	A
2011-10-31 11:15:00	7290.0	A	12149000	49.07	A
2011-11-13 22:30:00	4280.0	A	12149000	47.8	A
2011-11-17 20:45:00	6010.0	A	12149000	48.56	A
2011-11-24 04:45:00	14900.0	A	12149000	52.19	A
2011-11-28 09:15:00	10100.0	A	12149000	50.14	A
2011-12-29 18:45:00	16600.0	A	12149000	52.86	A
2012-01-05 16:45:00	8480.0	A	12149000	49.51	A
2012-01-22 00:15:00	7340.0	A	12149000	49.05	A
2012-01-25 21:00:00	7250.0	A	12149000	49.02	A
2012-01-30 19:00:00	17500.0	A	12149000	53.24	A
2012-02-19 16:30:00	4730.0	A	12149000	47.93	A
2012-02-23 05:15:00	33100.0	A	12149000	57.12	A
2012-03-06 06:45:00	5590.0	A	12149000	48.32	A
2012-03-11 22:00:00	6050.0	A	12149000	48.52	A
2012-03-16 11:00:00	9690.0	A	12149000	49.98	A
2012-03-30 20:00:00	8950.0	A	12149000	49.69	A
2012-04-17 13:00:00	5930.0	A	12149000	48.47	A
2012-04-21 01:30:00	12100.0	A	12149000	51.0	A
2012-04-24 14:15:00	11400.0	A	12149000	50.71	A
2012-05-01 12:00:00	9930.0	A	12149000	50.08	A
2012-05-04 17:00:00	7820.0	A	12149000	49.25	A
2012-05-15 17:15:00	8660.0	A	12149000	49.58	A
2012-05-22 20:45:00	10300.0	A	12149000	50.21	A
2012-05-24 04:30:00	11900.0	A	12149000	50.91	A
2012-06-02 10:30:00	10500.0	A	12149000	50.33	A
2012-06-06 14:30:00	8120.0	A	12149000	49.37	A
2012-06-13 21:30:00	8520.0	A	12149000	49.53	A
2012-06-19 00:30:00	11400.0	A	12149000	50.69	A
2012-10-15 19:45:00	3440.0	A	12149000	47.31	A
2012-10-16 20:15:00	5450.0	A	12149000	48.26	A
2012-10-20 15:30:00	6670.0	A	12149000	48.78	A
2012-10-28 18:15:00	9660.0	A	12149000	49.97	A
2012-10-30 01:00:00	13500.0	A	12149000	51.6	A
2012-10-31 12:45:00	13100.0	A	12149000	51.43	A
2012-11-05 20:45:00	7640.0	A	12149000	49.18	A
2012-11-15 04:00:00	5060.0	A	12149000	48.08	A
2012-11-20 12:45:00	15100.0	A	12149000	52.26	A
2012-11-24 14:45:00	13200.0	A	12149000	51.46	A
2012-12-04 03:00:00	7738.341968911917	hf.missing	12149000	49.47	A
2012-12-05 09:00:00	12100.0	A	12149000	51.0	A
2013-01-08 12:30:00	7360.0	A	12149000	49.0	A
2013-01-09 19:15:00	10500.0	A	12149000	50.31	A
2013-01-30 21:45:00	8080.0	A	12149000	49.28	A
2013-03-02 06:15:00	8750.0	A	12149000	49.54	A
2013-03-13 23:15:00	14000.0	A	12149000	51.83	A
2013-03-21 07:00:00	7160.0	A	12149000	48.92	A
2013-04-02 19:00:00	5230.0	A	12149000	48.11	A
2013-04-06 15:00:00	15100.0	A	12149000	52.26	A
2013-04-11 13:00:00	11900.0	A	12149000	50.91	A
2013-04-20 17:45:00	12300.0	A	12149000	51.09	A
2013-04-29 23:00:00	9780.0	A	12149000	49.99	A
2013-05-08 16:45:00	8700.0	A	12149000	49.52	A
2013-05-30 19:45:00	7010.0	A	12149000	48.85	A
2013-06-21 15:15:00	8060.0	A	12149000	49.27	A
2013-09-24 14:00:00	3560.0	A	12149000	47.28	A
2013-09-29 13:45:00	11300.0	A	12149000	50.65	A
2013-10-01 11:00:00	14300.0	A	12149000	51.96	A
2013-10-09 04:45:00	7080.0	A	12149000	48.77	A
2013-11-03 13:15:00	2950.0	A	12149000	46.87	A
2013-11-06 18:00:00	3570.0	A	12149000	47.18	A
2013-11-08 15:30:00	10800.0	A	12149000	50.46	A
2013-11-16 19:30:00	6560.0	A	12149000	48.53	A
2013-11-20 01:00:00	16200.0	A	12149000	52.71	A
2013-12-02 10:45:00	11700.0	A	12149000	50.83	A
2013-12-16 17:00:00	4100.0	A	12149000	47.42	A
2013-12-24 08:00:00	15900.0	A	12149000	52.58	A
2014-01-03 18:15:00	5730.0	A	12149000	48.12	A
2014-01-09 17:15:00	5850.0	A	12149000	48.18	A
2014-01-12 04:45:00	9930.0	A	12149000	50.06	A
2014-01-13 20:15:00	13200.0	A	12149000	51.47	A
2014-01-30 10:30:00	6950.0	A	12149000	48.71	A
2014-02-13 02:30:00	7580.0	A	12149000	49.0	A
2014-02-17 19:00:00	7620.0	A	12149000	49.02	A
2014-03-06 22:15:00	22800.0	A	12149000	54.36	A
2014-03-10 08:00:00	33400.0	A	12149000	56.6	A
2014-03-15 04:30:00	9410.0	A	12149000	49.83	A
2014-03-17 06:30:00	13000.0	A	12149000	51.37	A
2014-03-30 15:45:00	6170.0	A	12149000	48.34	A
2014-04-06 21:45:00	7450.0	A	12149000	48.94	A
2014-04-09 17:30:00	8300.0	A	12149000	49.33	A
2014-04-18 14:45:00	11000.0	A	12149000	50.54	A
2014-04-25 07:45:00	9080.0	A	12149000	49.68	A
2014-05-04 00:00:00	7010.0	A	12149000	48.74	A
2014-05-05 23:30:00	10400.0	A	12149000	50.26	A
2014-05-10 02:15:00	9080.0	A	12149000	49.68	A
2014-05-16 15:00:00	7560.0	A	12149000	48.99	A
2014-06-29 12:15:00	5670.0	A	12149000	48.09	A
2014-07-25 10:00:00	4230.0	A	12149000	47.48	A
2014-08-14 04:30:00	2650.0	A	12149000	46.71	A
2014-09-04 00:45:00	3740.0	A	12149000	47.26	A
2014-10-01 03:00:00	2430.0	A	12149000	46.59	A
2014-10-16 15:45:00	3170.0	A	12149000	46.98	A
2014-10-19 04:30:00	5040.0	A	12149000	47.82	A
2014-10-23 19:30:00	6521.191709844559	hf.missing	12149000	49.39	A
2014-10-27 11:15:00	6820.0	A	12149000	48.65	A
2014-10-30 02:30:00	8170.0	A	12149000	49.27	A
2014-11-05 04:00:00	14400.0	A	12149000	52.0	A
2014-11-10 10:15:00	7210.0	A	12149000	48.83	A
2014-11-22 17:15:00	4510.0	A	12149000	47.6	A
2014-11-24 07:30:00	7320.0	A	12149000	48.88	A
2014-11-27 00:00:00	27500.0	A	12149000	55.38	A
2014-12-11 00:45:00	6270.0	A	12149000	48.39	A
2014-12-22 03:00:00	10800.0	A	12149000	50.46	A
2014-12-24 16:15:00	13600.0	A	12149000	51.64	A
2015-01-06 11:15:00	49700.0	A	12149000	59.26	A
2015-01-18 21:30:00	10800.0	A	12149000	50.46	A
2015-01-24 23:45:00	16800.0	A	12149000	52.97	A
2015-02-07 09:30:00	11900.0	A	12149000	50.91	A
2015-02-11 02:00:00	12900.0	A	12149000	51.35	A
2015-03-15 09:30:00	7340.0	A	12149000	48.89	A
2015-03-26 12:00:00	9690.0	A	12149000	49.95	A
2015-09-02 23:30:00	2310.0	A	12149000	46.49	A
2015-10-11 18:00:00	6070.0	A	12149000	48.29	A
2015-11-01 14:30:00	30300.0	A	12149000	56.7	A
2015-11-08 22:00:00	6360.0	A	12149000	48.43	A
2015-11-14 22:15:00	29700.0	A	12149000	57.71	A
