utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-11-11 22:29:59	74383	132.72		SVPA-37		
2019-11-19 10:15:01	87328	87.76		SVPA-37		
2019-12-07 12:00:08	122387	87.74		SVPA-37		
2019-12-21 04:15:05	148870	90.66		SVPA-37		
2020-02-07 20:00:04	220115	92.87		SVPA-37		
2020-05-09 10:30:07	351921	92.18		SVPA-37		
2020-05-11 08:30:10	354415	92.27		SVPA-37		
2020-05-14 00:00:10	357878	92.56		SVPA-37		
2020-05-17 02:45:08	361999	92.75		SVPA-37		
2020-12-04 05:45:04	697786	89.27		SVPA-37		
2021-01-03 12:15:01	748401	87.04		SVPA-37		
2021-02-13 23:45:21	813229	88.35		SVPA-37		
2021-02-15 04:15:05	815123	88.31		SVPA-37		
2021-11-13 03:45:05	1224154	92.64		SVPA-37		
2021-11-15 00:45:04	1227339	91.13		SVPA-37		
2022-01-12 22:30:07	1318894	91.82		SVPA-37		
2022-01-27 22:30:07	1342485	94.41		SVPA-37		
2022-03-01 17:15:06	1393330	94.47		SVPA-37		
